Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_0402_1005Metric",118.850000,-89.420000,0.000000,top
"C2","100n","C_0402_1005Metric",120.230000,-88.330000,0.000000,top
"C3","12p","C_0603_1608Metric",123.414000,-88.108000,180.000000,top
"C4","100n","C_0402_1005Metric",118.514000,-79.283000,90.000000,top
"C5","1u","C_0402_1005Metric",121.000000,-82.300000,-90.000000,top
"C6","12p","C_0603_1608Metric",123.541000,-81.758000,0.000000,top
"C7","100n","C_0402_1005Metric",107.300000,-78.860000,180.000000,top
"C8","10n","C_0402_1005Metric",119.858000,-82.294000,-90.000000,top
"C9","2u2","C_0603_1608Metric",105.007000,-81.187000,-90.000000,top
"C10","100n","C_0402_1005Metric",106.010000,-89.400000,180.000000,top
"C11","2u2","C_0603_1608Metric",104.901000,-86.938000,90.000000,top
"C12","100n","C_0402_1005Metric",117.630000,-90.500000,0.000000,top
"C13","4.7n","C_0402_1005Metric",144.600000,-82.702000,-90.000000,top
"C14","100p","C_0402_1005Metric",141.480000,-79.768000,90.000000,top
"C15","100p","C_0402_1005Metric",141.480000,-82.280000,-90.000000,top
"C16","10u","CP_EIA-3216-18_Kemet-A",142.300000,-88.900000,-90.000000,top
"C17","100n","C_0402_1005Metric",123.190000,-80.330000,0.000000,top
"C18","100n","C_0402_1005Metric",123.180000,-79.350000,0.000000,top
"C19","100n","C_0402_1005Metric",119.860000,-80.410000,90.000000,top
"C20","100n","CP_EIA-3216-18_Kemet-A",143.300000,-85.500000,0.000000,top
"C21","10n","C_0402_1005Metric",96.940000,-90.900000,90.000000,top
"C22","C_Polarized_Small","C_0603_1608Metric",136.080000,-80.740000,90.000000,top
"C23","C_Polarized_Small","C_0603_1608Metric",129.300000,-81.110000,-90.000000,top
"D1","BLU","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",102.800000,-78.680000,0.000000,top
"D2","GRN","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",105.770000,-90.580000,0.000000,top
"D3","RED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",130.930000,-86.276000,90.000000,top
"J4","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",98.200000,-84.700000,-90.000000,top
"L1","39n","L_0402_1005Metric",121.000000,-80.400000,-90.000000,top
"R1","10k","R_0402_1005Metric",128.960000,-86.220000,90.000000,top
"R2","10k","R_0402_1005Metric",126.580000,-79.430000,0.000000,top
"R3","60 ohm","R_0402_1005Metric",142.570000,-80.910000,90.000000,top
"R4","60 ohm","R_0402_1005Metric",143.040000,-82.820000,90.000000,top
"R5","20k","R_0402_1005Metric",101.480000,-90.540000,0.000000,top
"R6","47 ohm ","R_0402_1005Metric",96.930000,-92.860000,-90.000000,top
"R7","20k","R_0402_1005Metric",100.560000,-78.640000,0.000000,top
"R8","1k","R_0402_1005Metric",123.880000,-89.920000,90.000000,top
"R9","20k","R_0402_1005Metric",130.900000,-88.456000,90.000000,top
"R10","5.1k","R_0402_1005Metric",97.000000,-76.225000,90.000000,top
"R11","5.1k","R_0402_1005Metric",96.975000,-78.300000,90.000000,top
"R12","1k","R_0402_1005Metric",124.960000,-89.960000,90.000000,top
"U1","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",112.492000,-84.679000,180.000000,top
"U2","MAX3051EKA+T","SOT-23-8",138.940000,-81.000000,0.000000,top
"U3","LM1117-3.3","SOT-223-3_TabPin2",136.182000,-87.475600,180.000000,top
"U5","HT7550-1","SOT-89-3",132.730000,-81.240000,-90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",123.330000,-84.933000,90.000000,top
