Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_0402_1005Metric",118.850000,-89.420000,0.000000,top
"C2","100n","C_0402_1005Metric",120.230000,-88.330000,0.000000,top
"C3","12p","C_0402_1005Metric",123.700000,-87.600000,180.000000,top
"C4","100n","C_0402_1005Metric",118.514000,-79.283000,90.000000,top
"C5","1u","C_0402_1005Metric",121.000000,-82.300000,-90.000000,top
"C6","12p","C_0402_1005Metric",123.541000,-82.300000,0.000000,top
"C7","100n","C_0402_1005Metric",107.300000,-78.860000,180.000000,top
"C8","10n","C_0402_1005Metric",119.858000,-82.294000,-90.000000,top
"C9","2u2","C_0603_1608Metric",105.007000,-81.187000,-90.000000,top
"C10","100n","C_0402_1005Metric",106.010000,-89.400000,180.000000,top
"C11","2u2","C_0603_1608Metric",104.901000,-86.938000,90.000000,top
"C12","100n","C_0402_1005Metric",117.630000,-90.500000,0.000000,top
"C13","4.7n","C_0402_1005Metric",143.400000,-81.450000,-90.000000,top
"C14","100p","C_0402_1005Metric",143.400000,-79.500000,90.000000,top
"C15","100p","C_0402_1005Metric",143.400000,-83.400000,90.000000,top
"C16","10u","C_0603_1608Metric",134.350000,-81.150000,90.000000,top
"C17","100n","C_0402_1005Metric",123.190000,-80.330000,0.000000,top
"C18","100n","C_0402_1005Metric",123.180000,-79.350000,0.000000,top
"C19","100n","C_0402_1005Metric",119.860000,-80.410000,90.000000,top
"C20","100n","CP_EIA-3216-18_Kemet-A",143.300000,-85.500000,0.000000,top
"C21","10n","C_0402_1005Metric",96.940000,-90.900000,90.000000,top
"C22","10u","C_0603_1608Metric",142.300000,-88.300000,-90.000000,top
"C23","100n","C_0402_1005Metric",120.050000,-78.600000,0.000000,top
"D1","BLU","LED_0603_1608Metric",130.500000,-85.900000,90.000000,top
"D2","GRN","LED_0603_1608Metric",103.400000,-90.500000,0.000000,top
"D3","RED","LED_0603_1608Metric",102.900000,-78.800000,0.000000,top
"J4","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",98.200000,-84.700000,-90.000000,top
"L1","39n","L_0402_1005Metric",121.000000,-80.400000,-90.000000,top
"R1","10k","R_0402_1005Metric",128.960000,-86.220000,90.000000,top
"R2","10k","R_0402_1005Metric",126.580000,-79.430000,0.000000,top
"R3","100Ω","R_0402_1005Metric",144.450000,-80.400000,90.000000,top
"R4","100Ω","R_0402_1005Metric",144.450000,-83.260000,90.000000,top
"R5","20k","R_0402_1005Metric",100.800000,-90.400000,0.000000,top
"R6","47R","R_0402_1005Metric",96.930000,-92.860000,-90.000000,top
"R7","20k","R_0402_1005Metric",100.190000,-78.640000,0.000000,top
"R8","1k","R_0402_1005Metric",121.200000,-89.950000,90.000000,top
"R9","20k","R_0402_1005Metric",130.900000,-88.456000,90.000000,top
"R10","5.1k","R_0402_1005Metric",97.000000,-76.225000,90.000000,top
"R11","5.1k","R_0402_1005Metric",96.975000,-78.300000,90.000000,top
"R12","1k","R_0402_1005Metric",122.400000,-89.950000,90.000000,top
"U1","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",112.492000,-84.679000,180.000000,top
"U2"," TJA1050T/CM,118","SOIC-8_3.9x4.9mm_P1.27mm",138.850000,-81.200000,0.000000,top
"U3","LM1117-3.3","SOT-223-3_TabPin2",136.150000,-87.600000,180.000000,top
"U5","HT7550","SOT-89-3",131.000000,-81.200000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",123.330000,-84.933000,90.000000,top
